event_title,event_date,venue,city,category_name,section,row,seat_details,quantity_available,price_usd,fees_included,delivery_method,delivery_timing,status,image_url
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 356,356,17,"2 or 4 tickets available",2,375,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 428,428,32,"2 tickets available",2,377,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 443,443,25,"2 tickets available",2,381,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 444,444,19,"2 tickets available",2,384,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 445,445,15,"2 tickets available",2,386,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 446,446,19,"2 tickets available",2,386,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 442,442,34,"2 tickets available",2,387,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 443,443,33,"2 tickets available",2,387,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 356,356,14,"2 tickets available",2,390,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 356,356,13,"2 or 4 tickets available",2,390,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 430,430,19,"2 tickets available",2,390,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 349,349,15,"2 tickets available",2,392,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 349,349,12,"2 or 4 tickets available",2,394,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 356,356,17,"2 or 4 tickets available",2,395,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 354,354,18,"2 tickets available",2,396,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 355,355,11,"2 or 4 tickets available",2,398,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 443,443,25,"2 tickets available",2,399,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 354,354,10,"2 or 4 tickets available",2,401,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 355,355,10,"2 or 4 tickets available",2,401,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 349,349,12,"2 tickets available",2,403,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 353,353,16,"2 or 4 tickets available",2,403,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 355,355,11,"2 or 4 tickets available",2,404,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 354,354,9,"2 or 4 tickets available",2,406,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 356,356,9,"2 or 4 tickets available",2,406,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 444,444,23,"2 tickets available",2,406,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 444,444,14,"2 tickets available",2,406,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 352,352,17,"2 tickets available",2,410,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
BTS WORLD TOUR 'ARIRANG' — Chicago — August 28,2026-08-28T20:00:00-05:00,Soldier Field,"Chicago, IL",Upper 432,432,27,"2 tickets available",2,412,true,Mobile entry,Expected before event,available,/images/seatmaps/bts-chicago-2026-08-27.png
